Graph name;|V|;|E|;|pins|;Number of parts;Imbalance;alg_dist;zoltan;patoh;hmetis
release-flickr-links_x0_200;372246;372246;5951784;16;1.1;362726.0;364741.0;372214.0;369225.0
release-flickr-links_x0_200;372246;372246;5951784;2;1.03;303421.0;309617.0;304405.0;348663.0
release-flickr-links_x0_200;372246;372246;5951784;2;1.05;299931.0;304462.0;302322.0;350643.0
release-flickr-links_x0_200;372246;372246;5951784;2;1.1;292032.0;295437.0;293675.0;352928.0
release-flickr-links_x0_200;372246;372246;5951784;32;1.03;363686.0;365584.0;372245.0;369672.0
release-flickr-links_x0_200;372246;372246;5951784;32;1.05;363675.0;365498.0;372244.0;369559.0
release-flickr-links_x0_200;372246;372246;5951784;32;1.1;363754.0;365515.0;372246.0;369696.0
release-flickr-links_x0_200;372246;372246;5951784;4;1.03;352294.0;354758.0;363598.0;361317.0
release-flickr-links_x0_200;372246;372246;5951784;4;1.05;352012.0;352459.0;363077.0;362477.0
release-flickr-links_x0_200;372246;372246;5951784;4;1.1;351314.0;352336.0;361676.0;365753.0
release-flickr-links_x0_200;372246;372246;5951784;64;1.03;364252.0;366009.0;372246.0;370164.0
release-flickr-links_x0_200;372246;372246;5951784;64;1.05;364259.0;366081.0;372246.0;370112.0
release-flickr-links_x0_200;372246;372246;5951784;64;1.1;364126.0;366158.0;372246.0;370198.0
release-flickr-links_x0_200;372246;372246;5951784;8;1.03;359390.0;361283.0;371746.0;368276.0
release-flickr-links_x0_200;372246;372246;5951784;8;1.05;359464.0;361022.0;371699.0;367690.0
release-flickr-links_x0_200;372246;372246;5951784;8;1.1;358803.0;360356.0;371611.0;368682.0
release-flickr-links_x0_25;46530;46530;741858;128;1.03;45575.0;45848.0;46530.0;46522.0
release-flickr-links_x0_25;46530;46530;741858;128;1.05;45527.0;45830.0;46530.0;46525.0
release-flickr-links_x0_25;46530;46530;741858;128;1.1;45545.0;45791.0;46530.0;46523.0
release-flickr-links_x0_25;46530;46530;741858;16;1.03;45204.0;45655.0;46527.0;46196.0
release-flickr-links_x0_25;46530;46530;741858;16;1.05;45334.0;45612.0;46523.0;46181.0
release-flickr-links_x0_25;46530;46530;741858;16;1.1;45168.0;45568.0;46528.0;46181.0
release-flickr-links_x0_25;46530;46530;741858;2;1.03;37838.0;38488.0;39198.0;43471.0
release-flickr-links_x0_25;46530;46530;741858;2;1.05;37373.0;37993.0;38927.0;43763.0
release-flickr-links_x0_25;46530;46530;741858;2;1.1;36255.0;36909.0;38198.0;43956.0
release-flickr-links_x0_25;46530;46530;741858;32;1.03;45425.0;45722.0;46529.0;46305.0
release-flickr-links_x0_25;46530;46530;741858;32;1.05;45388.0;45720.0;46530.0;46299.0
release-flickr-links_x0_25;46530;46530;741858;32;1.1;45375.0;45702.0;46530.0;46288.0
release-flickr-links_x0_25;46530;46530;741858;4;1.03;43925.0;43910.0;45898.0;45171.0
release-flickr-links_x0_25;46530;46530;741858;4;1.05;43891.0;43881.0;45857.0;45297.0
release-flickr-links_x0_25;46530;46530;741858;4;1.1;43832.0;43809.0;45779.0;45452.0
release-flickr-links_x0_25;46530;46530;741858;64;1.03;45532.0;45803.0;46530.0;46449.0
release-flickr-links_x0_25;46530;46530;741858;64;1.05;45509.0;45806.0;46530.0;46445.0
release-flickr-links_x0_25;46530;46530;741858;64;1.1;45487.0;45805.0;46530.0;46452.0
release-flickr-links_x0_25;46530;46530;741858;8;1.03;44962.0;45148.0;46505.0;45940.0
release-flickr-links_x0_25;46530;46530;741858;8;1.05;44924.0;45110.0;46506.0;45938.0
release-flickr-links_x0_25;46530;46530;741858;8;1.1;44868.0;45054.0;46494.0;45948.0
release-flickr-links_x0_50;93061;93061;1485612;128;1.03;91168.0;91633.0;93061.0;92952.0
release-flickr-links_x0_50;93061;93061;1485612;128;1.05;91113.0;91678.0;93061.0;92938.0
release-flickr-links_x0_50;93061;93061;1485612;128;1.1;91044.0;91615.0;93061.0;92928.0
release-flickr-links_x0_50;93061;93061;1485612;16;1.03;90361.0;91189.0;93059.0;92240.0
release-flickr-links_x0_50;93061;93061;1485612;16;1.05;90533.0;91196.0;93060.0;92326.0
release-flickr-links_x0_50;93061;93061;1485612;16;1.1;90588.0;91186.0;93059.0;92277.0
release-flickr-links_x0_50;93061;93061;1485612;2;1.03;75710.0;77085.0;78898.0;86914.0
release-flickr-links_x0_50;93061;93061;1485612;2;1.05;74702.0;75935.0;78283.0;87561.0
release-flickr-links_x0_50;93061;93061;1485612;2;1.1;72735.0;73794.0;77200.0;88229.0
release-flickr-links_x0_50;93061;93061;1485612;32;1.03;90900.0;91467.0;93061.0;92518.0
release-flickr-links_x0_50;93061;93061;1485612;32;1.05;90927.0;91400.0;93061.0;92550.0
release-flickr-links_x0_50;93061;93061;1485612;32;1.1;90930.0;91373.0;93061.0;92528.0
