amazon030221.1;amazon0302;262111;257570;2;1.1;9013.0
amazon030241.1;amazon0302;262111;257570;4;1.1;18166.0
amazon030281.1;amazon0302;262111;257570;8;1.1;26352.0
amazon0302161.1;amazon0302;262111;257570;16;1.1;34009.0
amazon0302321.1;amazon0302;262111;257570;32;1.1;41615.0
amazon0302641.1;amazon0302;262111;257570;64;1.1;49344.0
amazon03021281.1;amazon0302;262111;257570;128;1.1;56773.0
amazon030221.03;amazon0302;262111;257570;2;1.03;9509.0
amazon030241.03;amazon0302;262111;257570;4;1.03;18301.0
amazon030281.03;amazon0302;262111;257570;8;1.03;27036.0
amazon0302161.03;amazon0302;262111;257570;16;1.03;34651.0
amazon0302321.03;amazon0302;262111;257570;32;1.03;42129.0
amazon0302641.03;amazon0302;262111;257570;64;1.03;49829.0
amazon03021281.03;amazon0302;262111;257570;128;1.03;57574.0
amazon030221.05;amazon0302;262111;257570;2;1.05;9298.0
amazon030241.05;amazon0302;262111;257570;4;1.05;18248.0
amazon030281.05;amazon0302;262111;257570;8;1.05;26843.0
amazon0302161.05;amazon0302;262111;257570;16;1.05;34241.0
amazon0302321.05;amazon0302;262111;257570;32;1.05;41670.0
amazon0302641.05;amazon0302;262111;257570;64;1.05;49494.0
amazon03021281.05;amazon0302;262111;257570;128;1.05;57565.0
amazon031221.1;amazon0312;400727;388374;2;1.1;26616.0
amazon031241.1;amazon0312;400727;388374;4;1.1;51479.0
amazon031281.1;amazon0312;400727;388374;8;1.1;71082.0
amazon0312161.1;amazon0312;400727;388374;16;1.1;87985.0
amazon0312321.1;amazon0312;400727;388374;32;1.1;106913.0
amazon0312641.1;amazon0312;400727;388374;64;1.1;123729.0
amazon03121281.1;amazon0312;400727;388374;128;1.1;141421.0
amazon031221.03;amazon0312;400727;388374;2;1.03;28821.0
amazon031241.03;amazon0312;400727;388374;4;1.03;53178.0
amazon031281.03;amazon0312;400727;388374;8;1.03;72882.0
amazon0312161.03;amazon0312;400727;388374;16;1.03;90614.0
amazon0312321.03;amazon0312;400727;388374;32;1.03;108166.0
amazon0312641.03;amazon0312;400727;388374;64;1.03;125040.0
amazon03121281.03;amazon0312;400727;388374;128;1.03;142875.0
amazon031221.05;amazon0312;400727;388374;2;1.05;28111.0
amazon031241.05;amazon0312;400727;388374;4;1.05;52818.0
amazon031281.05;amazon0312;400727;388374;8;1.05;72439.0
amazon0312161.05;amazon0312;400727;388374;16;1.05;89338.0
amazon0312321.05;amazon0312;400727;388374;32;1.05;108028.0
amazon0312641.05;amazon0312;400727;388374;64;1.05;124077.0
amazon03121281.05;amazon0312;400727;388374;128;1.05;142493.0
